,title,nationality,box_office_first_week,press_eval,viewers_eval,budget,duration_minutes,season,year,action,animation,arts martiaux,aventure,biopic,bollywood,comédie,comédie dramatique,comédie musicale,divers,drame,epouvante-horreur,erotique,espionnage,expérimental,famille,fantastique,guerre,historique,judiciaire,musical,policier,péplum,romance,science fiction,sport event,thriller,western,stars_producers_director,nombre_acteurs_connus,distributor_important
2918,the many saints of newark,U.S.A.,12136,3.0,2.7,50000000.0,123,automne,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0,True
2918,the many saints of newark,U.S.A.,12136,3.0,2.7,50000000.0,123,automne,2021,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,True
2919,pig,U.S.A.,10015,3.7,2.9,29000000.0,91,automne,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,1,True
2919,pig,U.S.A.,10015,3.7,2.9,29000000.0,91,automne,2021,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,True
2920,victor et célia,France,63877,3.2,3.0,29000000.0,91,printemps,2019,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,True
2920,victor et célia,France,63877,3.2,3.0,29000000.0,91,printemps,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.0,1,True
2921,night at the museum 3: secret of the tomb,U.S.A.,501154,2.9,3.2,127000000.0,97,hiver,2015,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,True
2921,night at the museum 3: secret of the tomb,U.S.A.,501154,2.9,3.2,127000000.0,97,hiver,2015,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,True
2921,night at the museum 3: secret of the tomb,U.S.A.,501154,2.9,3.2,127000000.0,97,hiver,2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,1,True
2922,d'ardennen,Belgique,19135,3.8,3.7,2200000.0,93,printemps,2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,0,True
2922,d'ardennen,Belgique,19135,3.8,3.7,2200000.0,93,printemps,2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0,True
2923,saint laurent,France,141138,4.0,2.9,29000000.0,157,automne,2014,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,2,True
2923,saint laurent,France,141138,4.0,2.9,29000000.0,157,automne,2014,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,2,True
2923,saint laurent,France,141138,4.0,2.9,29000000.0,157,automne,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.0,2,True
2924,eva,France,87548,2.6,1.8,29000000.0,100,printemps,2018,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,2,True
2925,en kongelig affære,Danemark,81405,3.6,4.2,8000000.0,136,automne,2012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0,2,False
2925,en kongelig affære,Danemark,81405,3.6,4.2,8000000.0,136,automne,2012,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,2,False
